0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
28514852.0,16365.0,37497258.0,17597.0,36200915.0,312333.0,16815003.0,12773157.0,39478831.0,33055.0,2424688.0,38498090.0,3291920.0,270796.0,833078.0,58326.0,37493493.0,37495840.0,44059.0,6391368.0,39152805.0,21773932.0,7008045.0,66320.0,37826320.0,37508033.0,1551318.0,22819066.0,34367.0,18787.0,18598.0,225086.0,63436.0,1854812.0,21965.0,21955.0,372417.0,1335398.0,10384.0,5146232.0,37501695.0,44648.0,7807160.0,60483.0
28558991.0,17516.0,37497540.0,18013.0,37495441.0,325654.0,18106317.0,12774304.0,39501912.0,33582.0,2520365.0,38498311.0,3856785.0,283088.0,867746.0,60243.0,37493683.0,37495995.0,53562.0,7327501.0,39167583.0,21884232.0,7492518.0,74335.0,37826920.0,37508271.0,1644363.0,22850143.0,35351.0,20447.0,18805.0,262896.0,64783.0,2089633.0,24339.0,23414.0,464334.0,1629105.0,11453.0,5310377.0,37501978.0,47300.0,8548273.0,61986.0
28667163.0,18136.0,37498717.0,18518.0,37495757.0,344516.0,20899603.0,12777117.0,39807806.0,47604.0,2679162.0,38510422.0,5124837.0,367461.0,920086.0,62779.0,37493840.0,37496315.0,57242.0,7695215.0,39476466.0,21992933.0,7559595.0,88573.0,37831290.0,37515013.0,1703646.0,22994119.0,36785.0,22076.0,18853.0,301583.0,67807.0,2109348.0,25420.0,23773.0,482480.0,1663629.0,12554.0,5520337.0,37502425.0,51289.0,9128446.0,69400.0
30164387.0,18804.0,37498996.0,18577.0,37495994.0,349965.0,21217446.0,12778473.0,40137482.0,55569.0,2775803.0,38511748.0,5853004.0,378918.0,992944.0,64630.0,37494020.0,37496515.0,60491.0,7866272.0,39487112.0,22000287.0,7629578.0,102450.0,37831656.0,37516059.0,1770739.0,23315589.0,39254.0,23395.0,19167.0,307903.0,69901.0,2238097.0,26633.0,24164.0,487198.0,1775744.0,14060.0,5789825.0,37502977.0,54355.0,9190668.0,77178.0
30454271.0,19527.0,37499254.0,18795.0,37496168.0,377159.0,23124215.0,12787398.0,40137809.0,56454.0,2918264.0,38813934.0,5873361.0,379361.0,1019223.0,67574.0,37494179.0,37496531.0,64700.0,8132878.0,39491415.0,22126376.0,7686665.0,104112.0,37836637.0,37520726.0,1780924.0,23990710.0,42290.0,24986.0,20066.0,333219.0,71214.0,2265241.0,27544.0,25918.0,492043.0,1861125.0,14875.0,5954353.0,37503448.0,58070.0,12753023.0,78318.0
30675685.0,20337.0,37499999.0,19027.0,37496518.0,417734.0,23990568.0,12789392.0,40138190.0,58315.0,2989924.0,38820508.0,6325690.0,403086.0,1234434.0,69213.0,37494346.0,37496727.0,66847.0,8323089.0,39825692.0,22134345.0,7763714.0,110110.0,37841869.0,37522127.0,1823581.0,26994662.0,43863.0,26301.0,20337.0,336169.0,71819.0,2326493.0,28332.0,26587.0,545285.0,1947084.0,15731.0,6205112.0,37503680.0,60003.0,12756680.0,80676.0
31020750.0,21201.0,37500414.0,19914.0,37497356.0,423448.0,28861506.0,12796728.0,40467147.0,62016.0,3113568.0,38822299.0,7114454.0,410585.0,1268447.0,71872.0,37494505.0,37496917.0,67628.0,8349464.0,39829306.0,22136201.0,7987842.0,115749.0,38154646.0,37522472.0,1837672.0,28559991.0,46447.0,28407.0,22188.0,352273.0,73118.0,2431548.0,32001.0,27979.0,583600.0,1978429.0,16549.0,6664936.0,37503895.0,63964.0,13521088.0,83074.0
31034893.0,22154.0,37500905.0,20077.0,37497555.0,502508.0,31850492.0,12798815.0,40467660.0,65130.0,3126628.0,38838607.0,7196676.0,542042.0,1337864.0,72547.0,37494672.0,37497072.0,68257.0,8431474.0,40136614.0,22160600.0,8110158.0,125069.0,38154905.0,37823875.0,1848167.0,30089805.0,48542.0,29709.0,26283.0,373680.0,77759.0,2506053.0,33241.0,29862.0,613338.0,2112773.0,17454.0,6989750.0,37504097.0,64536.0,15028925.0,83464.0
31324805.0,23311.0,37501893.0,22654.0,37497771.0,536905.0,31914914.0,12802287.0,40470346.0,75871.0,3199985.0,39158247.0,7217667.0,578291.0,1357506.0,74316.0,37494836.0,37498034.0,71019.0,8514133.0,40149662.0,22213816.0,8296274.0,126538.0,38155155.0,37824401.0,1850061.0,30701476.0,54211.0,31793.0,27401.0,380613.0,92221.0,2653539.0,34454.0,32057.0,628446.0,2127748.0,18213.0,7041124.0,37504725.0,66499.0,15554550.0,83634.0
31348677.0,24312.0,37502094.0,22742.0,37497963.0,548820.0,32178533.0,12949060.0,40797623.0,78656.0,3291453.0,39476455.0,7217770.0,618291.0,1398915.0,77888.0,37495045.0,37498205.0,73586.0,8754447.0,40161989.0,22230730.0,8316912.0,128361.0,38156686.0,37825113.0,1890242.0,31717241.0,55012.0,33786.0,28255.0,403721.0,93019.0,2788345.0,36714.0,32491.0,634196.0,2142057.0,19163.0,7300819.0,37505219.0,72092.0,16310629.0,86900.0
31550493.0,25414.0,37502632.0,23754.0,37498324.0,599239.0,32216791.0,12961391.0,40800083.0,80080.0,3352555.0,39481098.0,7217788.0,622457.0,1440178.0,79918.0,37495214.0,37498364.0,80162.0,8917692.0,40464786.0,22237392.0,8323102.0,132289.0,38160879.0,37827260.0,1964535.0,32222607.0,57460.0,35609.0,28981.0,407485.0,95950.0,2905332.0,37955.0,33727.0,643519.0,2159705.0,19904.0,7701735.0,37505491.0,75084.0,17182416.0,90866.0
31553936.0,26282.0,37503156.0,23786.0,37499529.0,604861.0,37494829.0,13043956.0,41457712.0,80225.0,3404799.0,39496006.0,7217926.0,634957.0,1538873.0,88100.0,37495409.0,37499056.0,80647.0,9087348.0,40492452.0,22318298.0,8395309.0,134876.0,38169100.0,37828324.0,1982471.0,32302587.0,60474.0,36950.0,29666.0,448459.0,105387.0,2910034.0,38675.0,33967.0,678081.0,2221928.0,20764.0,7794752.0,37507093.0,79188.0,17640242.0,93719.0
31658220.0,27400.0,37503463.0,24198.0,37499783.0,666799.0,37495637.0,13049624.0,41787688.0,80369.0,3438378.0,39503381.0,7217984.0,651368.0,1563041.0,102096.0,37495595.0,37499249.0,81696.0,9613900.0,40797052.0,22341022.0,8835077.0,149945.0,38181323.0,37828701.0,2110309.0,32681582.0,62675.0,37862.0,34044.0,449316.0,106648.0,2924171.0,39699.0,35035.0,699481.0,2270056.0,21595.0,7812209.0,37508033.0,82282.0,18365689.0,94670.0
31668700.0,28254.0,37505787.0,26245.0,37499969.0,707333.0,37496263.0,13059438.0,42117427.0,83283.0,3478151.0,39814922.0,7217997.0,663290.0,1579847.0,102934.0,37495829.0,37499530.0,82126.0,10512381.0,40800355.0,22360144.0,9205371.0,156645.0,38495003.0,37828988.0,2308337.0,32692372.0,65004.0,39082.0,35127.0,479265.0,117565.0,3197364.0,42645.0,36966.0,848873.0,2497245.0,22468.0,8361182.0,37508988.0,83457.0,18866036.0,100931.0
31678677.0,28981.0,37506388.0,26927.0,37500190.0,710751.0,37497000.0,13061095.0,42447943.0,83851.0,3782354.0,40137848.0,7218158.0,667248.0,1605627.0,105908.0,37495985.0,37499916.0,84383.0,11130281.0,40814640.0,22371384.0,9298217.0,156913.0,38495850.0,37830495.0,2330315.0,32713477.0,66136.0,41149.0,35284.0,479438.0,120360.0,3212477.0,43080.0,37282.0,859889.0,2613138.0,23173.0,9072055.0,37511207.0,86860.0,20159291.0,102151.0
31695594.0,29666.0,37506791.0,30418.0,37500303.0,747412.0,37497526.0,18728061.0,42777964.0,84028.0,3821032.0,40146013.0,7218169.0,683498.0,1661663.0,107961.0,37496015.0,37500559.0,86967.0,11276124.0,40818002.0,22401118.0,9604571.0,157982.0,38498077.0,37833399.0,2680562.0,32770246.0,67782.0,42288.0,35504.0,484740.0,122452.0,3459275.0,47591.0,40534.0,926909.0,2999539.0,24029.0,9136361.0,37511432.0,90882.0,20195662.0,105863.0
31703616.0,30828.0,37507415.0,31628.0,37501032.0,752012.0,37498053.0,24635809.0,42778499.0,84368.0,3939924.0,40486567.0,7522778.0,683706.0,1665435.0,110110.0,37496135.0,37500992.0,89509.0,11286143.0,41134252.0,22457898.0,10062602.0,159721.0,38510408.0,37834245.0,2710453.0,32774867.0,73115.0,43769.0,35597.0,501010.0,124242.0,3499031.0,49887.0,44055.0,938546.0,3056542.0,24953.0,9221882.0,37514164.0,93140.0,20700966.0,109851.0
31721882.0,31269.0,37507662.0,33163.0,37502147.0,780449.0,37498467.0,28182719.0,42779023.0,91445.0,3964616.0,40492444.0,7791907.0,721554.0,1741708.0,111670.0,37496304.0,37502212.0,90781.0,11359140.0,41138363.0,22472521.0,10364978.0,167277.0,38511753.0,37839180.0,2730110.0,32885879.0,74753.0,45185.0,35644.0,503136.0,124831.0,3517265.0,52665.0,46669.0,1036003.0,3170146.0,25914.0,9277557.0,37514666.0,93851.0,22662261.0,111387.0
31722408.0,32189.0,37507952.0,33253.0,37502572.0,784552.0,37499223.0,28566735.0,42781273.0,93541.0,3971886.0,40810771.0,7962424.0,728081.0,1741748.0,113224.0,37496522.0,37502432.0,94486.0,11669553.0,41139364.0,22501049.0,10665116.0,173835.0,38815221.0,37839401.0,2836029.0,32982546.0,77146.0,47834.0,35819.0,505967.0,132066.0,3602431.0,53752.0,48506.0,1384722.0,3233202.0,27309.0,9304975.0,37515013.0,96885.0,22813971.0,114463.0
31805199.0,33212.0,37509614.0,34539.0,37503022.0,834572.0,37500070.0,31413648.0,43999351.0,94790.0,4004347.0,40810791.0,8234584.0,752247.0,1742037.0,113334.0,37496718.0,37502987.0,96040.0,11808325.0,41145442.0,22548141.0,10739990.0,174231.0,38815699.0,37846707.0,3047648.0,33292346.0,78433.0,49567.0,39401.0,512825.0,139578.0,3668415.0,54996.0,51945.0,1464775.0,3355590.0,28104.0,9874759.0,37516059.0,98858.0,23654034.0,120547.0
